condition1A	condition1B	condition1C	condition2A	condition2B	condition2C	condition3A	condition3B	condition3C	condition4A	condition4B	condition4C	condition5	condition6
gene1264	0	0	0	0	0	0	0	0	0	0	0	0	17	56
gene1265	0	0	0	0	0	0	0	0	0	0	0	0	0	11
gene1266	0	0	0	0	0	0	0	0	0	0	0	0	2	31
gene1267	0	0	0	0	0	0	0	0	0	0	0	0	4	36
gene1268	7	3	4	4	3	4	5	4	3	3	4	2	2	42
gene1269	1	2	2	21	23	16	1	1	2	3	1	6	1	4
gene1270	0	0	0	0	0	0	1	1	2	1	1	1	0	38
gene1271	0	0	0	0	0	0	0	0	0	0	0	0	3	42
gene1272	0	0	0	0	0	0	0	0	0	0	0	0	60	27
gene1273	0	0	0	0	0	0	0	0	0	0	0	0	13	79
gene1274	0	0	0	0	0	0	0	0	0	0	0	0	29	5
gene1275	0	0	0	0	0	0	0	0	0	0	0	0	57	32
gene1276	0	0	0	0	0	0	0	0	0	0	0	0	28	2
gene1277	0	0	0	0	0	0	0	0	0	0	0	0	68	131
gene1278	0	0	0	0	0	0	0	0	0	0	0	0	8	36
gene1279	5	19	11	28	20	16	8	6	10	7	7	12	2	1
gene1280	0	4	2	6	11	2	7	10	11	18	33	19	3	2
gene1281	0	0	0	0	0	0	1	1	0	15	15	20	0	0
gene1282	0	0	0	0	0	0	0	0	0	0	0	0	43	172
gene1283	0	0	1	9	1	1	0	0	0	0	0	0	0	1
gene1284	0	2	0	5	12	6	4	7	10	8	12	22	1	1
gene1285	29	31	22	45	60	44	46	94	89	64	103	101	4	2
gene1286	0	0	0	0	0	0	0	0	0	0	0	0	1	66
gene1287	83	362	68	56	79	297	509	418	436	230	207	331	79	464
gene1288	1	1	1	1	1	1	36	22	3	15	7	3	11	8
gene1289	0	0	0	0	0	0	0	0	0	0	0	0	31	13
gene1290	37	35	34	30	15	31	23	24	21	12	5	4	36	3
gene1291	0	1	0	6	10	2	2	1	1	1	1	1	0	0
gene1292	1	4	1	12	23	21	89	93	120	112	148	147	1	0
gene1293	8	10	10	9	11	12	26	24	31	22	22	18	8	32
gene1294	0	0	0	0	0	0	0	0	0	0	0	0	16	157
gene1295	0	1	1	4	6	3	1	3	2	6	6	11	2	1
gene1296	0	0	0	0	0	0	0	0	0	0	0	0	7	26
gene1297	0	0	0	16	8	5	27	37	21	63	109	70	148	346
gene1298	1	4	2	1	1	4	13	12	16	8	5	5	7	2
gene1299	0	0	0	0	0	0	0	0	0	0	0	0	47	17
gene1300	0	0	0	0	0	0	0	0	0	0	0	0	61	34
gene1301	0	0	0	0	0	0	0	0	0	0	0	0	29	76
gene1302	0	0	0	0	0	0	0	0	0	0	0	0	18	64
gene1303	10	11	9	11	12	12	3	3	3	2	2	4	1	13
gene1304	0	0	0	0	0	0	0	1	0	3	4	11	2	1
gene1305	0	1	0	3	3	3	4	8	6	21	16	69	2	0
gene1306	0	0	0	0	0	0	0	0	0	0	0	0	8	45
gene1307	33	38	87	32	37	42	59	38	53	42	39	33	88	12
gene1308	0	0	2	1	1	0	7	8	7	9	4	4	31	3
gene1309	0	0	0	0	0	0	0	0	0	0	0	0	100	0
gene1310	2	0	0	5	16	3	0	0	0	0	0	0	0	0
gene1311	0	0	0	0	0	0	0	0	0	1	1	3	75	8
gene1312	0	0	0	0	0	0	0	0	0	0	0	0	41	17
gene1313	2	3	3	9	10	10	13	15	15	17	32	12	1	2
gene1314	0	0	0	0	0	0	0	0	0	0	0	0	55	0
gene1315	0	0	0	1	0	1	9	13	14	11	8	12	0	8
gene1316	0	2	1	2	2	2	19	18	11	10	7	6	2	2
gene1317	4	6	3	33	25	4	37	27	26	48	62	17	3	2
gene1318	0	0	0	0	0	0	0	0	0	0	0	0	15	2
gene1319	3	4	6	2	2	14	36	15	39	14	5	17	0	0
gene1320	110	65	123	12	6	25	21	11	5	18	6	5	12	3
gene1321	0	0	0	0	0	0	0	0	0	0	0	0	2647	771
gene1322	7	9	5	17	29	12	11	19	11	25	31	22	50	17
gene1323	0	0	0	0	0	0	0	0	0	0	0	0	225	93
gene1324	0	0	0	0	0	0	0	0	0	0	0	0	1	34
gene1325	21	16	15	13	10	12	16	14	12	10	9	9	10	34
gene1326	22	15	12	7	10	9	30	26	20	11	16	10	15	353
gene1327	3	4	2	5	4	3	17	26	22	6	6	3	2	4
gene1328	0	0	0	0	0	0	0	0	0	0	0	0	3	16
gene1329	0	0	0	0	0	0	0	0	0	0	0	0	14	37
gene1330	0	15	7	26	24	9	1	0	1	1	0	0	0	0
gene1331	0	0	0	0	0	0	0	0	0	0	0	0	89	53
gene1332	0	0	0	0	0	0	0	0	0	0	0	0	22	86
gene1333	0	0	0	3	7	2	2	1	1	15	9	19	1	20
gene1334	3	2	3	1	0	1	4	4	4	1	2	1	16	844
gene1335	7	9	6	11	19	14	9	16	14	14	18	17	0	0
gene1336	0	0	0	0	0	0	0	0	0	0	0	0	1	19
gene1337	0	0	0	0	0	0	0	0	0	0	0	0	0	40
gene1338	4	3	6	4	3	4	5	5	6	6	4	4	1	195
gene1339	0	0	0	0	0	0	0	0	0	0	0	0	15	38
gene1340	0	0	0	0	0	0	0	0	0	0	0	0	34	13
gene1341	10	12	12	12	8	11	42	27	33	26	17	13	16	7
gene1342	0	0	0	0	0	0	0	0	0	0	0	0	6	23
gene1343	0	3	0	6	57	9	0	2	2	4	9	7	1	0
gene1344	0	0	0	0	0	0	0	0	0	0	0	0	1	19
gene1345	0	0	0	0	0	0	0	0	0	0	0	0	2	179
gene1346	0	0	0	0	0	0	0	0	0	0	0	0	78	43
gene1347	0	0	0	0	0	0	0	0	0	0	0	0	43	13
gene1348	0	0	0	0	0	0	0	0	0	0	0	0	1	115
gene1349	1	1	1	2	4	2	9	12	10	24	23	31	2	2
gene1350	0	0	0	0	0	0	0	0	0	0	0	0	1	14
gene1351	0	0	0	0	0	0	0	0	0	0	0	0	6	31
gene1352	6	6	6	0	0	0	0	0	0	0	0	0	140	87
gene1353	0	0	0	0	0	0	0	0	0	0	0	0	64	32
gene1354	0	0	0	0	0	0	0	0	0	0	0	0	2	13
gene1355	2	2	1	4	3	2	8	10	8	19	18	27	1	1
gene1356	0	0	0	0	0	0	0	0	0	0	0	0	67	12
gene1357	0	0	1	1	0	0	5	5	5	6	13	3	69	145
gene1358	110	704	1440	462	13	437	96	15	54	45	10	33	35	38
gene1359	0	1	0	4	4	1	2	3	7	22	24	22	1	0
gene1360	2	38	19	4	75	39	171	149	195	205	318	150	65	2
gene1361	0	0	0	0	0	0	0	0	0	0	0	0	74	41
gene1362	0	0	0	0	0	0	0	0	0	0	0	0	41	4
gene1363	0	0	0	0	0	0	0	0	0	0	0	0	5	39
gene1364	2	3	2	2	1	1	10	11	11	1	5	1	1	737
gene1365	8	141	7	84	610	371	140	178	258	211	261	325	5	8
gene1366	0	0	0	0	0	0	0	0	0	0	0	0	34	111
gene1367	4	6	6	9	9	3	6	6	5	4	2	3	62	18
gene1368	0	0	0	0	0	0	0	0	0	0	0	0	30	12
gene1369	0	0	0	0	0	0	0	0	0	0	0	0	0	25
gene1370	8	7	20	2	2	5	10	5	4	7	3	4	3	18
gene1371	0	0	0	0	0	0	0	0	0	0	0	0	1	21
gene1372	0	0	0	0	0	0	0	0	0	0	0	0	10	45
gene1373	3	2	2	2	2	2	3	3	3	2	2	1	16	44
gene1374	0	0	0	0	0	0	0	0	0	0	0	0	34	10
gene1375	0	4	7	13	20	7	6	18	16	14	19	15	2	0
gene1376	0	0	0	0	0	0	0	0	0	0	0	0	13	52
gene1377	3	7	6	3	3	8	15	11	7	8	5	7	7	25
gene1378	2	4	2	9	12	7	6	9	5	8	7	15	11	9
gene1379	14	8	9	8	4	7	14	17	15	7	4	7	0	0
gene1380	0	0	0	0	0	0	0	0	0	0	0	0	1	47
gene1381	47	29	23	22	39	13	58	64	37	103	183	61	16	18
gene1382	0	0	0	0	0	0	0	0	0	0	0	0	8	53
gene1383	3	4	4	8	11	9	10	21	19	35	34	39	5	1
gene1384	0	0	0	0	0	0	0	0	0	0	0	0	2	14
gene1385	23	29	37	23	29	29	44	44	54	49	55	41	195	74
gene1386	0	0	0	0	0	0	0	0	0	0	0	0	550	105
gene1387	0	0	0	0	0	0	0	0	0	0	0	0	1	203
gene1388	7	5	5	5	4	4	2	3	3	1	2	2	1	55
gene1389	54	82	93	27	9	39	26	15	14	10	4	8	24	9
gene1390	0	0	0	0	0	0	0	0	0	0	0	0	214	10
gene1391	0	0	0	0	0	0	0	0	0	0	0	0	1	63
gene1392	0	0	1	15	5	20	0	0	0	0	0	1	1	0
gene1393	0	1	1	1	0	0	3	5	3	15	15	14	0	0
gene1394	0	3	2	9	19	8	1	2	2	15	7	24	205	6
gene1395	7	5	3	4	4	3	3	3	2	2	2	2	2	26
gene1396	0	0	0	0	0	0	0	0	0	0	0	0	35	110
gene1397	57	35	44	21	13	20	21	22	21	14	13	13	21	35
gene1398	23	8	31	5	2	9	2	1	0	1	1	0	0	0
gene1399	3	3	2	27	1	7	0	0	0	0	0	0	2	4
gene1400	0	0	0	0	0	0	0	0	0	0	0	0	3	15
gene1401	7	7	6	5	5	5	4	5	4	3	3	4	2	60
gene1402	97	78	78	26	27	27	65	53	44	51	71	26	39	25
gene1403	0	0	0	0	0	0	0	0	0	0	0	0	23	5
gene1404	0	0	0	0	0	0	0	0	0	0	0	0	1	16
gene1405	0	0	0	0	0	0	0	0	0	0	0	0	1	14
gene1406	12	9	7	7	7	6	17	13	13	15	15	9	82	36
gene1407	0	0	0	0	0	0	0	0	0	0	0	1	80	45
gene1408	0	0	0	0	0	0	0	0	0	0	0	0	71	1
gene1409	18	16	18	5	12	11	27	24	19	13	15	7	0	0
gene1410	12	11	24	5	1	13	32	14	15	12	7	6	3	1
gene1411	1	2	1	1	1	1	2	2	2	2	2	2	0	36
gene1412	0	0	0	0	0	0	0	0	0	0	0	0	4	21
gene1413	1	5	0	16	31	13	22	77	46	53	95	90	4	1
gene1414	4	2	2	4	3	2	4	5	3	6	5	5	11	40
gene1415	1	0	1	1	0	1	3	3	3	3	4	2	29	66
gene1416	0	1	0	1	3	1	3	3	3	8	27	3	0	0
gene1417	0	0	0	0	0	0	0	0	0	0	0	0	6	31
gene1418	0	0	0	0	0	0	0	0	0	0	0	0	1	18
gene1419	1	6	1	6	23	16	17	17	24	29	28	15	0	0
gene1420	0	0	0	0	0	0	0	0	0	0	0	0	12	60
gene1421	0	0	0	0	0	0	0	0	0	0	0	0	4	19
gene1422	0	0	0	0	0	0	0	0	0	0	0	0	23	52
gene1423	0	0	0	0	0	0	0	0	0	2	1	0	95	44
gene1424	6	6	11	21	15	12	15	52	25	92	59	130	40	4
gene1425	0	0	0	0	0	0	0	0	0	0	0	0	60	35
gene1426	22	19	52	65	11	16	19	6	14	5	3	6	8	8
gene1427	0	0	0	1	0	0	1	0	0	0	0	0	1	27
gene1428	4	3	2	5	7	4	14	22	14	34	38	40	47	3
gene1429	0	0	0	0	0	0	0	0	0	0	0	0	14	0
gene1430	0	0	0	1	0	0	5	2	4	3	1	2	25	2
gene1431	7	9	2	1	0	1	0	0	0	0	0	0	0	0
gene1432	0	0	0	0	0	0	0	0	0	0	0	0	29	5
gene1433	0	0	0	0	0	0	0	0	0	0	0	0	104	0
gene1434	0	0	0	1	0	1	1	1	1	1	1	1	1	19
gene1435	0	0	0	0	0	0	0	0	0	0	0	0	2	17
gene1436	1	2	1	1	0	1	19	8	4	24	57	3	2	1
gene1437	0	0	0	6	4	5	16	85	80	113	376	350	6	0
gene1438	18	24	58	9	38	17	26	17	10	14	14	10	50	10
gene1439	0	0	0	0	0	0	0	0	0	0	0	0	9	0
gene1440	0	1	0	1	11	3	14	16	28	34	98	34	3	1
gene1441	0	1	0	0	1	0	1	1	0	0	0	0	20	89
gene1442	0	0	0	0	0	0	0	0	0	0	0	0	54	19
gene1443	20	33	21	32	56	34	21	33	34	31	24	47	32	96
gene1444	0	0	0	0	0	0	0	0	0	0	0	0	0	29
gene1445	0	0	0	0	0	0	0	0	0	1	1	3	71	36
gene1446	3	5	4	3	3	4	1	1	1	0	0	0	2	50
gene1447	7	13	14	7	6	15	17	12	14	3	2	2	12	8
gene1448	0	0	0	0	0	0	0	0	0	0	0	0	67	24
gene1449	0	0	0	0	0	0	0	0	0	0	0	0	167	44
gene1450	0	0	0	0	0	0	0	0	0	0	0	0	40	19
gene1451	0	0	0	0	0	0	0	0	0	0	0	0	1	325
gene1452	0	0	0	0	0	0	0	0	0	0	0	0	1	21
gene1453	0	0	0	0	0	0	0	0	0	0	0	0	5	22
gene1454	0	0	0	0	0	0	0	0	0	0	0	0	2	13
gene1455	4	3	8	8	16	18	57	266	114	96	170	255	0	0
gene1456	0	0	0	0	0	0	0	0	0	0	1	1	26	0
gene1457	0	0	0	0	0	0	0	0	0	0	0	0	183	94
gene1458	3	3	3	8	7	8	6	13	9	1	3	1	1	2
gene1459	0	0	0	0	0	0	0	0	0	0	0	0	53	116
gene1460	0	0	0	0	0	0	0	0	0	0	0	0	225	66
gene1461	1	0	1	0	0	0	3	3	4	1	2	1	0	139
gene1462	0	0	0	0	0	0	0	0	0	0	0	0	46	20
gene1463	0	0	1	8	28	16	76	227	259	247	332	450	25	0
gene1464	0	0	0	0	0	0	0	0	0	0	0	0	2	16
gene1465	0	0	0	0	0	0	0	0	0	0	0	0	71	3
gene1466	0	4	0	1	20	0	21	8	11	6	6	29	2	0
gene1467	0	0	0	0	0	0	0	0	0	0	0	0	22	66
gene1468	2	20	2	36	40	24	19	18	28	20	83	16	4	8
gene1469	0	0	0	0	0	0	0	0	0	0	0	0	2	18
gene1470	0	0	0	0	0	0	0	0	0	0	0	0	2	15
gene1471	1	0	0	0	0	0	0	0	0	0	0	0	2	59
gene1472	0	0	0	0	0	0	0	0	0	0	0	0	5	20
gene1473	0	0	0	5	4	4	2	1	0	3	1	3	1	1
gene1474	1	1	0	1	1	1	0	0	0	0	0	0	7	25
gene1475	0	0	0	0	0	0	0	0	0	0	0	0	53	17
gene1476	0	0	0	0	0	0	0	0	0	0	0	0	1	116
gene1477	0	0	0	2	0	1	0	0	0	0	0	0	50	7
gene1478	7	9	8	5	6	8	24	18	11	20	9	8	23	1
gene1479	160	221	628	411	80	263	135	186	409	149	264	294	16468	164
gene1480	3	4	6	4	0	2	17	7	7	12	3	9	54	9
gene1481	32	24	23	29	33	16	7	7	12	2	1	2	0	1
gene1482	15	29	3	26	86	56	209	235	263	150	225	163	34	115
gene1483	0	0	0	0	0	0	0	0	0	0	0	0	49	23
gene1484	47	34	53	42	50	14	36	37	29	69	117	64	271	160
gene1485	5	6	11	5	5	7	10	9	8	7	4	3	8	68
gene1486	1	1	2	0	1	1	1	1	1	1	1	1	101	49
gene1487	4	3	2	3	2	2	2	1	1	1	1	0	2	27
gene1488	22	11	9	9	8	8	9	7	6	6	4	4	2	13
gene1489	7	19	5	24	35	37	10	10	21	9	7	16	1	0
gene1490	0	0	0	0	0	0	0	0	0	0	0	0	0	21
gene1491	0	0	0	0	0	0	0	0	0	0	0	0	245	652
gene1492	1	1	1	1	0	1	4	2	2	3	1	1	0	23
gene1493	0	0	0	0	0	0	0	0	0	0	0	0	3	16
gene1494	0	0	0	0	0	0	0	0	0	0	0	0	14	2
gene1495	0	0	0	0	0	0	0	0	0	0	0	0	2	31
gene1496	2	3	2	3	2	2	1	0	1	0	0	0	1	19
gene1497	0	0	0	0	0	0	0	0	0	0	0	0	14	42
gene1498	2	2	4	2	0	1	9	9	8	1	3	0	2	77
gene1499	5	6	5	7	7	5	3	7	10	22	53	30	1	1
gene1500	7	10	5	12	21	8	6	14	7	15	20	18	2	18
gene1501	0	0	0	0	0	0	0	0	0	0	0	0	7	34
gene1502	0	0	0	0	0	0	0	0	0	0	0	0	1	18
gene1503	0	0	0	0	0	0	0	0	0	0	0	0	4	101
gene1504	1	2	2	3	2	2	5	4	3	3	4	3	3	22
gene1505	1	1	3	9	5	4	17	14	22	31	17	42	0	0
gene1506	0	0	0	0	0	0	0	0	0	0	0	0	5	28
gene1507	0	0	0	0	0	0	0	0	0	0	0	0	8	0
gene1508	0	0	0	0	0	0	0	0	0	0	0	0	46	22
gene1509	23	13	12	14	9	6	11	10	6	8	6	5	5	38
gene1510	1	1	0	1	0	1	0	0	0	0	0	0	14	54
gene1511	0	0	0	0	0	0	0	0	0	0	0	0	8	31
gene1512	0	0	0	0	0	0	0	0	0	0	0	0	26	66
gene1513	0	0	0	0	0	0	0	0	0	0	0	0	22	79
gene1514	1	3	0	6	18	5	1	1	3	4	4	14	2	0
gene1515	0	0	0	0	0	0	0	0	0	0	0	0	32	74
gene1516	0	0	1	1	1	1	1	1	1	3	2	2	53	30
gene1517	2	6	1	8	17	9	5	12	11	17	24	29	36	11
gene1518	0	0	0	0	0	0	0	0	0	0	0	0	4	104
gene1519	35	61	58	66	80	70	21	14	10	36	22	14	297	100
gene1520	0	0	0	0	0	0	0	0	0	0	0	0	689	304
gene1521	0	0	0	0	0	0	0	0	0	0	0	0	44	23
gene1522	12	18	23	3	1	3	18	9	4	17	4	3	13	4
gene1523	0	0	0	1	2	0	1	1	2	6	6	14	13	0
gene1524	0	0	0	0	0	0	0	0	0	0	0	0	156	18
gene1525	0	0	0	0	0	0	0	0	0	0	0	0	0	155
gene1526	0	2	0	7	8	4	2	6	4	4	7	8	9	9
gene1527	32	138	108	304	217	352	0	0	1	1	0	0	1	1
gene1528	0	0	0	0	0	0	0	0	0	0	0	0	99	48
gene1529	0	0	0	0	0	0	0	0	0	0	0	0	46	25
gene1530	0	0	0	0	0	0	0	0	0	0	0	0	5	50
gene1531	0	0	0	0	0	0	0	0	0	0	0	0	8	99
gene1532	0	0	0	0	0	0	0	0	0	0	0	0	10	0
gene1533	2	4	5	5	8	6	38	36	57	92	110	116	3	2
gene1534	9	9	8	4	2	7	11	7	11	6	2	4	9	39
gene1535	0	0	0	0	0	0	0	0	0	0	0	0	12	32
gene1536	6	3	5	5	5	5	14	9	14	8	8	4	25	2
gene1537	0	1	1	11	16	11	26	67	39	459	468	841	3	0
gene1538	0	0	0	0	0	0	0	0	0	0	0	0	13	2
gene1539	11	38	32	9	34	27	168	192	129	311	383	98	36	3
gene1540	0	0	0	0	0	0	0	0	0	0	0	0	2	13
gene1541	0	0	0	0	0	0	0	0	0	0	0	0	6	21
gene1542	0	0	0	0	0	0	0	0	0	0	0	0	4	20
gene1543	0	0	0	0	0	0	0	0	0	0	0	0	16	1
gene1544	2	4	1	6	14	6	1	3	4	4	3	11	0	0
gene1545	0	0	0	0	0	0	0	0	0	0	0	0	29	12
gene1546	1	2	2	1	1	0	0	0	0	0	0	0	41	9
gene1547	0	0	0	0	0	0	0	0	0	0	0	0	42	11
gene1548	0	0	0	1	2	2	25	59	21	207	238	342	0	0
gene1549	2	2	0	11	9	1	27	42	29	83	106	81	355	187
gene1550	0	0	0	0	0	0	0	0	0	0	0	0	0	67
gene1551	1	14	0	10	93	20	17	6	13	10	4	7	0	2
gene1552	0	0	0	0	0	0	0	0	0	0	0	0	16	49
gene1553	0	0	0	0	0	0	0	0	0	0	0	0	0	32
gene1554	0	0	0	0	0	0	0	0	0	0	0	0	4	60
gene1555	0	0	0	0	0	0	0	0	0	0	0	0	13	38
gene1556	0	0	0	0	0	0	0	0	0	0	0	0	4	40
gene1557	3	1	3	4	14	4	0	1	0	0	1	0	0	0
gene1558	1	6	1	10	34	16	17	42	33	34	63	57	5	3
gene1559	0	0	0	0	0	0	0	0	0	0	0	0	4	22
gene1560	1	1	2	1	1	1	2	3	3	2	2	2	2	27
gene1561	0	0	0	0	0	0	0	0	0	0	0	0	6	21
gene1562	0	0	0	0	0	0	0	0	0	0	0	0	10	0
gene1563	1	1	1	0	0	1	1	0	1	0	0	0	12	162
gene1564	14	2	4	108	128	44	0	0	0	0	0	0	0	0
gene1565	0	0	0	0	0	0	0	0	0	0	0	0	15	4
gene1566	0	0	0	0	0	0	0	0	0	0	0	0	0	29
gene1567	5	5	8	5	8	27	13	7	10	11	8	7	8	16
gene1568	0	0	0	0	0	0	1	1	1	1	1	2	74	31
gene1569	16	44	212	25	6	53	30	16	34	12	10	10	74	35
gene1570	0	1	1	1	1	1	9	8	12	9	5	5	2	22
gene1571	0	0	0	0	0	0	0	0	0	0	0	0	2	53
gene1572	0	0	0	1	0	0	3	1	2	3	4	2	0	111
gene1573	0	0	0	4	0	0	0	0	0	0	0	0	14	0
gene1574	4	2	2	2	2	3	5	5	5	5	4	1	1	12
gene1575	0	0	5	1	2	3	19	54	57	113	53	235	142	49
gene1576	0	0	0	1	0	0	0	0	0	0	0	0	1	54
gene1577	0	0	0	0	0	0	0	0	0	0	0	0	17	46
gene1578	0	0	0	0	0	0	0	0	0	0	0	0	0	12
gene1579	0	0	1	11	4	6	3	4	3	6	4	6	19	2
gene1580	0	0	0	0	0	0	0	0	0	0	0	0	185	51
gene1581	0	0	0	0	0	0	0	0	0	0	0	0	21	4
gene1582	7	10	8	21	18	9	2	4	1	11	9	13	0	1
gene1583	1	0	0	1	1	0	1	1	1	1	1	1	0	25
gene1584	0	0	0	0	0	0	0	0	0	0	0	0	4	33
gene1585	16	20	20	16	16	16	24	22	29	14	12	11	12	6
gene1586	6	28	112	83	38	170	761	1440	1279	614	939	894	45	37
gene1587	0	0	0	0	0	0	0	0	0	0	0	0	16	40
gene1588	0	0	0	5	3	1	0	0	0	0	0	0	0	0
gene1589	0	0	0	0	0	0	0	0	0	0	0	0	0	18
gene1590	8	7	8	6	7	6	8	12	8	7	8	4	0	8
gene1591	0	0	0	0	0	0	0	0	0	0	0	0	1	14
gene1592	0	1	1	6	8	6	49	48	33	64	67	41	21	0
gene1593	0	0	0	0	0	0	0	0	0	0	0	0	88	50
gene1594	0	0	0	13	1	1	16	21	10	13	21	19	8	0
gene1595	0	0	0	0	0	0	0	0	0	0	0	0	79	20
gene1596	0	1	1	1	1	1	4	4	3	20	18	24	3	3
gene1597	0	2	9	16	7	17	38	119	129	293	345	350	45	89
gene1598	0	0	0	0	0	0	0	0	0	0	0	0	7	28
gene1599	4	3	4	4	3	4	4	6	4	4	2	3	3	21
gene1600	6	21	6	22	55	23	65	212	102	232	272	378	14	18
gene1601	2	2	1	2	2	1	2	2	2	2	2	2	2	51
gene1602	9	7	10	9	3	6	3	2	2	2	1	1	3	17
gene1603	0	0	0	0	0	0	0	0	0	0	0	0	151	49
gene1604	0	0	0	0	0	0	0	0	0	0	0	0	222	2
gene1605	0	1	0	0	0	1	0	0	0	0	0	0	15	70
gene1606	8	7	4	8	3	5	2	2	2	1	3	2	3	20
gene1607	45	21	16	10	4	15	0	0	0	0	0	0	22	98
gene1608	0	0	0	0	0	0	0	0	0	0	0	0	4	21
gene1609	0	0	0	0	0	0	0	0	0	0	0	0	1	78
gene1610	0	0	0	0	0	0	0	0	0	0	0	0	30	73
gene1611	3	4	1	9	10	4	3	4	3	5	7	3	26	56
gene1612	64	110	62	153	276	79	40	43	48	71	73	108	5	5
gene1613	8	6	6	8	6	5	10	11	7	7	5	8	3	22
gene1614	0	1	0	1	0	1	0	0	0	0	0	0	0	43
gene1615	7	14	11	21	28	17	18	25	21	29	24	31	0	0
gene1616	7	4	5	2	2	4	3	3	3	1	1	1	1	22
gene1617	0	0	0	9	8	7	140	220	157	204	134	400	5	0
gene1618	0	0	0	0	0	0	0	2	1	4	4	12	3	2
gene1619	56	93	73	74	146	125	218	393	311	448	531	706	181	55
gene1620	20	38	40	171	54	93	176	133	110	113	115	72	27	2
gene1621	0	0	0	0	0	0	0	0	0	0	0	1	225	104
gene1622	0	0	0	1	10	2	4	5	9	84	313	120	22	0
gene1623	3	7	15	2	0	3	3	1	3	2	1	2	1	0
gene1624	0	0	0	0	0	1	0	0	0	0	0	0	16	3
gene1625	0	0	0	0	0	0	0	0	0	0	0	0	4	17
gene1626	0	0	0	0	0	0	0	0	0	0	0	0	15	249
gene1627	0	0	0	0	0	0	0	0	0	0	0	0	18	49
gene1628	0	0	0	0	0	0	0	0	0	0	0	0	1	227
gene1629	3	2	3	2	1	1	9	8	8	6	8	4	17	60
gene1630	0	0	0	0	0	0	0	0	0	0	0	0	12	44
gene1631	1	4	12	1	0	10	247	142	227	75	56	51	0	0
gene1632	0	0	0	0	0	0	0	0	0	0	0	0	44	3
gene1633	0	0	0	0	0	0	0	0	0	0	0	0	4	86
gene1634	1	2	2	1	0	1	5	4	2	4	3	2	830	250
gene1635	17	10	11	4	1	2	7	6	5	6	3	5	2	1
gene1636	0	0	0	0	0	0	0	0	0	0	0	0	9	175
gene1637	0	1	0	0	0	1	1	1	1	1	1	1	14	3
gene1638	0	0	0	0	0	0	0	0	0	0	0	0	63	27
gene1639	0	3	0	4	15	7	8	12	30	7	8	13	2	6
gene1640	0	1	0	5	10	2	7	15	12	27	41	32	0	0
gene1641	82	55	51	33	23	37	16	7	8	9	5	5	7	29
gene1642	3	5	5	11	10	8	14	15	16	30	16	62	12	12
gene1643	0	0	0	0	0	0	0	0	0	0	0	0	23	56
gene1644	21	22	22	12	8	11	4	4	5	1	1	1	1	39
gene1645	0	0	0	0	0	0	0	0	0	0	0	0	9	45
gene1646	0	0	0	3	6	4	20	31	45	56	80	50	4	2
gene1647	42	21	41	18	7	14	2	1	1	0	0	0	7	3
gene1648	0	0	0	0	0	0	0	0	0	0	0	0	18	43
gene1649	0	0	0	0	0	0	0	0	0	0	0	0	0	88
gene1650	50	262	42	124	946	324	205	198	368	212	203	281	46	123
gene1651	0	0	0	1	0	0	31	24	6	16	4	2	1	0
gene1652	1	1	0	2	1	1	2	2	2	13	19	17	1	1
gene1653	5	49	8	21	103	69	46	67	61	59	97	78	75	562
gene1654	0	0	0	0	0	0	0	0	0	0	0	0	11	61
gene1655	0	0	0	0	0	0	0	0	0	0	0	0	47	16
gene1656	33	26	145	10	4	33	0	0	1	0	0	0	1	0
gene1657	0	0	0	0	0	0	0	0	0	0	0	0	2	24
gene1658	0	0	0	0	0	0	0	0	0	0	0	0	53	27
gene1659	0	0	0	0	0	0	0	0	0	0	0	0	18	45
gene1660	46	38	21	16	21	40	68	68	126	22	46	19	0	5
gene1661	0	0	0	0	0	0	2	2	1	1	1	0	0	26
gene1662	0	0	0	0	0	0	0	0	0	0	0	0	39	16
gene1663	0	0	0	0	0	0	0	0	0	0	0	0	3	15
gene1664	0	0	0	0	0	0	0	0	0	0	0	0	36	15
gene1665	16	29	37	22	49	23	62	47	48	177	137	173	188	111
gene1666	0	0	0	0	0	0	0	0	0	0	0	0	3	25
gene1667	1	2	0	7	8	3	7	11	4	6	7	6	0	0
gene1668	0	0	0	0	0	0	0	0	0	0	0	0	63	28
gene1669	0	0	0	0	0	0	0	0	0	0	1	2	77	1
gene1670	0	0	0	0	0	0	0	0	0	0	0	0	13	42
gene1671	0	0	0	0	0	0	0	0	1	5	2	18	0	24
gene1672	3	4	4	4	4	3	4	4	5	4	4	4	7	0
gene1673	0	0	0	0	0	0	0	0	0	0	0	0	40	21
gene1674	0	0	0	0	0	0	0	0	0	0	0	0	43	79
gene1675	3	4	4	22	8	18	25	26	34	19	20	23	2	1
gene1676	0	0	0	0	0	0	0	0	0	0	0	0	29	6
gene1677	0	0	0	0	0	0	0	0	0	0	0	0	15	1
gene1678	1	2	2	0	0	0	0	0	0	0	0	0	36	17
gene1679	0	0	0	0	0	0	0	0	0	0	0	0	11	33
gene1680	0	0	0	0	0	0	0	0	0	0	0	0	9	0
gene1681	26	29	18	18	36	11	25	20	17	4	4	5	4	2
gene1682	0	0	0	0	0	0	0	0	0	0	0	0	0	107
gene1683	23	18	25	14	16	20	12	8	6	15	11	5	6	28
gene1684	0	1	0	1	3	1	7	4	5	27	22	29	4	2
gene1685	2	3	3	2	2	3	6	6	6	4	4	3	1	21
