condition1A	condition1B	condition1C	condition2A	condition2B	condition2C	condition3A	condition3B	condition3C	condition4A	condition4B	condition4C	condition5	condition6
gene0095	4	3	3	1	0	2	4	4	3	2	2	1	0	14
gene0096	0	0	0	0	0	0	0	0	0	0	0	0	90	55
gene0097	0	0	0	0	0	0	0	0	0	0	0	0	3	18
gene0098	0	0	0	0	0	0	0	0	0	0	0	0	212	79
gene0099	0	1	1	2	1	1	1	1	1	5	4	1	39	5
gene0100	0	0	0	0	0	0	0	0	0	0	0	0	11	46
gene0101	14	17	16	21	21	17	18	26	21	42	49	53	9	12
gene0102	0	0	0	0	0	0	0	0	0	0	0	0	0	8
gene0103	1	0	1	23	11	8	9	16	15	14	28	26	40	13
gene0104	0	0	0	0	0	0	0	0	0	0	0	0	1	14
gene0105	1	1	0	1	1	1	1	2	3	35	45	44	1	2
gene0106	2	2	3	2	2	3	4	5	5	3	3	3	19	41
gene0107	6	7	14	15	11	10	11	12	9	13	7	8	42	107
gene0108	0	0	0	0	0	0	0	0	0	0	0	0	15	49
gene0109	0	0	0	0	0	0	0	0	0	0	0	0	8	44
gene0110	0	0	0	0	0	0	0	0	0	0	0	0	34	11
gene0111	0	1	6	0	0	1	0	0	0	0	0	2	26	7
gene0112	0	0	0	0	0	0	0	0	0	0	0	0	48	18
gene0113	82	116	110	74	142	68	242	276	239	150	249	81	109	23
gene0114	3	4	3	12	9	5	2	3	3	3	2	6	5	3
gene0115	0	0	0	0	0	0	0	0	0	0	0	0	402	2
gene0116	19	3	2	7	3	2	1	2	1	0	1	1	1	14
gene0117	1	0	0	2	0	1	0	0	0	0	0	0	8	160
gene0118	0	0	0	0	0	0	0	0	0	0	0	0	2	50
gene0119	1	4	1	15	32	10	11	30	21	20	16	27	14	37
gene0120	0	0	0	0	0	0	0	0	0	0	0	0	7	64
gene0121	0	0	0	0	0	0	0	0	0	0	0	0	35	64
gene0122	0	0	0	0	0	0	0	0	0	0	0	0	86	49
gene0123	0	0	1	4	8	9	7	7	25	70	151	326	11	0
gene0124	30	30	31	13	12	15	17	18	15	8	7	6	17	63
gene0125	6	36	23	14	51	14	34	38	28	64	153	26	0	0
gene0126	0	0	1	15	4	1	2	1	2	14	6	17	3	1
gene0127	0	0	0	0	0	0	0	0	0	0	0	0	0	10
gene0128	25	56	24	90	50	57	8	10	7	10	8	10	123	74
gene0129	1	3	3	3	5	2	6	7	6	6	9	5	17	3
gene0130	0	0	0	1	0	0	0	0	0	0	0	0	1	94
gene0131	0	0	0	1	13	1	7	5	1	17	5	4	1	0
gene0132	4	26	6	36	38	5	11	12	17	14	33	13	16	7
gene0133	0	0	0	0	0	0	0	0	0	0	0	0	100	54
gene0134	0	0	0	0	0	0	0	0	0	0	0	0	1	438
gene0135	0	0	0	0	0	0	0	0	0	8	4	2	0	0
gene0136	0	0	0	0	0	0	0	0	0	0	0	0	52	19
gene0137	19	11	9	12	11	7	8	8	6	5	4	5	10	33
gene0138	0	0	0	0	0	0	0	0	0	0	0	0	252	107
gene0139	1	1	2	1	1	2	6	7	7	9	7	8	1	12
gene0140	0	0	1	1	4	1	4	12	2	97	100	96	44	2
gene0141	0	0	0	0	0	0	0	0	0	0	0	0	6	22
gene0142	0	0	0	0	0	0	0	0	0	0	0	0	51	24
gene0143	2	3	3	46	187	57	53	72	24	99	63	196	2	0
gene0144	10	10	22	5	1	10	29	12	13	11	7	6	106	30
gene0145	0	0	0	0	0	0	0	0	0	0	0	0	62	18
gene0146	0	1	0	2	1	2	2	2	3	12	15	5	4	23
gene0147	0	1	1	7	7	1	3	1	5	36	61	32	0	0
gene0148	1	2	2	31	25	21	107	207	198	150	135	162	16	14
gene0149	0	0	0	0	0	0	0	0	0	0	0	0	0	11
gene0150	0	0	0	0	0	0	0	0	0	0	0	0	12	38
gene0151	0	0	0	0	0	0	0	0	0	0	0	0	5	22
gene0152	131	45	90	40	30	44	8	7	7	6	5	6	9	3
gene0153	0	0	0	0	0	0	0	0	0	0	0	0	78	35
gene0154	0	0	0	0	0	0	0	0	0	0	0	0	33	124
gene0155	0	0	0	0	0	0	0	0	0	0	0	0	9	103
gene0156	6	7	7	7	8	8	17	19	18	18	16	21	24	1
gene0157	3	6	1	8	9	1	4	3	4	2	3	1	66	16
gene0158	75	137	65	184	355	183	64	84	58	71	67	183	289	231
gene0159	0	0	0	0	0	0	0	0	0	0	0	0	12	46
gene0160	10	11	8	10	12	13	24	29	21	17	18	15	6	80
gene0161	0	0	0	0	0	0	0	0	0	0	0	0	20	42
gene0162	15	9	4	12	17	5	7	9	7	5	4	12	3	24
gene0163	1	0	0	1	0	1	3	4	3	0	1	0	0	129
gene0164	1	0	0	1	1	0	0	0	0	0	0	0	145	78
gene0165	0	0	0	0	0	0	0	0	0	0	0	0	59	3
gene0166	2	2	1	6	4	3	6	11	9	33	69	41	10	29
gene0167	0	0	0	0	0	0	0	0	0	0	0	0	7	23
gene0168	0	0	0	0	0	0	0	0	0	0	0	0	5	679
gene0169	0	0	0	0	0	0	0	0	0	0	0	0	37	68
gene0170	0	0	0	0	0	0	0	0	0	0	0	0	29	11
gene0171	0	0	0	0	0	0	0	0	0	0	0	0	7	23
gene0172	2	4	0	27	38	15	0	0	0	0	0	0	0	0
gene0173	6	3	11	1	0	1	1	0	0	0	0	0	1	0
gene0174	6	2	4	17	10	9	4	4	8	4	3	4	1	1
gene0175	0	0	0	0	0	0	0	0	0	0	0	0	7	24
gene0176	0	0	0	0	0	0	0	0	0	0	0	0	29	10
gene0177	41	39	28	26	24	25	10	11	8	6	8	7	6	28
gene0178	0	0	0	0	0	0	0	0	0	0	0	0	17	44
gene0179	0	0	0	1	1	0	4	1	1	30	42	16	0	0
gene0180	0	0	0	0	0	0	0	0	0	0	0	0	19	56
gene0181	2	1	3	1	0	1	1	1	1	0	0	0	0	9
gene0182	0	0	0	0	0	0	0	0	0	0	0	0	1	112
gene0183	21	16	17	66	38	59	158	240	177	103	167	156	0	0
gene0184	0	0	0	0	0	0	0	0	0	0	0	0	43	23
gene0185	0	0	0	0	0	0	0	0	0	0	0	0	71	40
gene0186	0	0	2	10	5	25	384	479	344	751	410	725	43	1
gene0187	0	0	0	0	0	0	0	0	0	0	0	0	4	338
gene0188	0	11	0	2	83	0	0	0	0	1	1	1	0	0
gene0189	0	0	0	1	1	1	3	1	1	13	6	8	5	0
gene0190	0	0	0	0	0	0	0	0	0	0	0	0	20	2
gene0191	0	0	0	0	0	0	0	0	0	0	0	0	0	18
gene0192	1	1	1	2	1	2	6	5	3	9	3	6	31	78
gene0193	1	0	0	33	1	1	0	0	0	0	0	0	0	0
gene0194	2	1	3	3	4	4	4	9	6	31	29	36	2	1
gene0195	0	2	1	7	5	11	15	16	21	57	36	66	1	0
gene0196	4	7	3	15	19	13	20	43	23	51	57	87	102	26
gene0197	0	0	0	0	0	0	0	0	0	0	0	0	15	2
gene0198	0	0	0	0	0	0	0	0	0	0	0	0	107	49
gene0199	93	86	83	54	7	37	7	4	4	3	2	2	28	50
gene0200	3	3	6	7	3	5	21	26	26	12	16	11	6	0
gene0201	2	4	1	6	11	7	2	6	4	8	9	7	8	6
gene0202	15	13	17	6	2	4	3	2	1	10	6	10	48	1
gene0203	0	1	0	1	4	1	0	0	0	0	0	0	4	39
gene0204	1	0	0	0	0	0	4	3	3	2	2	2	5	63
gene0205	0	0	0	0	0	0	0	1	0	0	0	0	9	39
gene0206	0	0	0	0	0	0	0	0	0	0	0	0	98	36
gene0207	24	42	42	19	49	41	24	17	28	26	21	18	3	19
gene0208	0	3	1	9	40	4	48	73	70	38	11	28	4	15
gene0209	0	1	0	0	0	0	0	0	0	0	0	0	56	31
gene0210	0	0	0	0	0	0	1	1	1	2	1	3	32	3
gene0211	0	0	0	0	0	0	0	0	0	0	0	0	38	13
gene0212	10	9	10	25	7	10	8	14	10	78	53	135	1	0
gene0213	0	0	0	0	0	0	0	0	0	0	0	0	14	2
gene0214	0	0	0	0	0	0	0	0	0	0	0	0	24	88
gene0215	0	0	0	0	0	0	0	0	0	0	0	0	2	17
gene0216	69	96	193	79	113	80	31	29	39	29	28	29	42	12
gene0217	0	0	0	0	0	0	0	0	0	0	0	0	55	1
gene0218	0	1	1	1	1	7	58	15	1	37	4	1	130	0
gene0219	35	206	367	220	169	132	4	2	7	31	16	29	191	0
gene0220	11	30	17	136	140	51	441	443	564	397	349	705	164	5
gene0221	0	0	0	0	0	0	0	0	0	0	0	0	13	36
gene0222	0	0	0	0	0	0	0	0	0	0	0	0	39	13
gene0223	0	0	0	0	0	0	0	0	0	0	0	0	0	25
gene0224	0	0	0	0	0	0	0	0	0	0	0	0	32	106
gene0225	0	0	0	0	0	0	0	0	0	0	0	0	0	9
gene0226	13	21	12	22	43	25	7	8	11	6	5	12	16	61
gene0227	1	3	3	1	4	3	110	153	104	220	851	91	4	4
gene0228	0	0	0	0	0	0	0	0	0	0	0	0	59	154
gene0229	0	0	0	0	0	0	0	0	0	0	0	0	77	26
gene0230	1	3	1	5	12	5	3	7	3	5	8	16	81	64
gene0231	21	22	16	27	22	21	18	18	20	8	8	6	10	44
gene0232	1	0	0	0	0	0	0	0	0	0	0	0	4	55
gene0233	8	9	9	18	6	9	27	31	21	33	35	17	42	9
gene0234	76	35	35	21	23	15	24	14	16	13	14	12	25	12
gene0235	0	1	1	0	0	0	0	0	0	0	0	0	28	1
gene0236	0	0	0	0	0	0	0	0	0	0	0	0	67	35
gene0237	10	31	31	73	42	39	47	106	74	213	237	216	116	23
gene0238	0	0	0	0	0	0	0	0	0	0	0	0	54	5
gene0239	0	0	0	0	0	0	0	0	0	0	0	0	18	44
gene0240	202	247	117	97	120	101	39	65	60	24	72	20	2	41
gene0241	0	0	0	0	0	0	2	3	6	2	3	2	5	72
gene0242	0	0	0	0	0	0	1	0	0	1	0	1	92	22
gene0243	0	0	0	0	0	0	0	0	0	0	0	0	46	20
gene0244	0	0	0	0	1	0	1	1	1	0	0	1	43	17
gene0245	25	55	48	33	68	35	14	10	13	3	5	4	18	23
gene0246	0	0	0	0	0	0	0	0	0	0	0	0	5	19
gene0247	5	1	5	1	0	1	1	1	1	1	0	0	11	1
gene0248	0	0	0	0	0	0	0	0	0	0	0	0	39	5
gene0249	0	0	0	0	0	0	0	0	0	0	0	0	53	0
gene0250	148	111	491	103	238	193	82	128	164	167	274	350	1537	82
gene0251	0	0	0	0	0	0	0	0	0	0	0	0	0	34
gene0252	0	0	0	0	0	0	0	0	0	0	0	0	0	80
gene0253	12	83	147	12	1	60	1209	880	1579	1077	757	614	133	2
gene0254	0	0	1	0	1	0	1	1	1	3	3	3	5	24
gene0255	10	43	33	36	77	65	62	79	60	100	89	83	143	57
gene0256	0	0	0	1	1	1	1	4	1	16	27	17	0	0
gene0257	0	0	0	0	0	0	1	1	1	6	4	27	0	0
gene0258	18	39	21	31	66	44	54	69	61	102	101	116	48	21
gene0259	0	0	0	0	0	0	0	0	0	0	0	0	56	21
gene0260	1	11	2	68	45	15	48	53	28	60	43	41	157	14
gene0261	33	27	26	22	25	19	15	13	13	7	7	3	2	8
gene0262	0	0	0	0	0	0	0	0	0	0	0	0	9	185
gene0263	0	0	0	0	0	0	0	0	0	0	0	0	8	0
gene0264	0	0	0	0	0	0	0	0	0	0	0	0	128	73
gene0265	0	0	0	0	0	0	0	0	0	0	0	0	15	44
gene0266	6490	3773	5417	4773	1501	2323	1227	700	921	584	391	300	2763	1593
gene0267	3	3	2	2	2	2	4	3	3	1	2	1	38	468
gene0268	0	0	0	0	0	0	0	0	0	0	0	0	13	50
gene0269	0	0	0	0	0	0	0	0	0	0	0	0	6	27
gene0270	3	1	2	2	1	1	0	0	1	1	0	0	23	8
gene0271	0	0	0	0	0	0	0	0	0	0	0	0	0	52
gene0272	0	0	0	0	0	0	0	0	0	0	0	0	40	18
gene0273	34	24	18	30	24	26	29	21	27	26	31	22	75	27
