no. samples with count > 0	no. samples with count >= 5	no. samples with count >= 10	pre-VST median expression	pre-VST mean expression	pre-VST expression variance	post-VST median expression	post-VST mean expression	post-VST expression variance
g0255	10	10	10	668.419722467696	703.043436808797	41396.6368532844	9.43506998424649	9.4564798852043	0.164974942507455
g0256	10	10	7	11.7466509314781	13.3192210775182	57.0614999190982	4.99567402054659	5.02853099407194	0.11050745722703
g0257	10	10	10	48.4412720844374	54.8903240295506	750.141906457816	6.15295949498468	6.19697370132399	0.264179161447583
g0258	10	10	10	105.248186005607	194.62418570619	47532.2234138968	7.00945088018876	7.3160087929574	1.2242622412621
g0260	10	10	10	210.538126261466	214.334824377829	16015.3179977816	7.8759363800817	7.66665939551683	0.872566179065396
g0261	10	10	10	85.6202577155425	89.8596183605183	987.863086833497	6.76970004361709	6.77524724451893	0.163053116112184
g0262	9	7	6	17.339135235029	24.0106063460795	616.293201313828	5.26003224228637	5.1665947771525	0.966405505353682
g0263	10	10	10	568.030338832425	638.091592616154	200086.568624923	9.21152218896225	8.99979531522443	1.46927728523086
g0264	4	0	0	0	0.315684352935498	0.176309830545533	3.6491789472175	3.79276962948416	0.0349671554626381
g0265	10	10	10	79.9652944503441	108.368254813693	3310.81036836801	6.69384379054609	6.94217229390012	0.303564480972434
g0266	10	5	2	5.14124930989397	6.48549621353603	55.3974706048328	4.55561383632913	4.54045175404864	0.219523518032021
g0268	10	10	10	48.8654403045366	47.8494907163986	92.2941170353287	6.16462871504863	6.13017430351347	0.041703736687828
g0269	10	10	10	290.466366872284	281.986468616643	6752.22757395454	8.29892924385162	8.2087884417093	0.17168021847956
g0272	1	0	0	0	0.115363597153351	0.133087595481607	3.6491789472175	3.69276050133881	0.0189935185962876
g0275	3	0	0	0	0.431383613755629	0.699937321674535	3.6491789472175	3.78968050297317	0.056606731994762
g0276	9	9	8	20.1362219487973	173.769755466351	106019.407523258	5.37244740147073	6.05130649720869	4.09750611025849
g0277	1	0	0	0	0.115363597153351	0.133087595481607	3.6491789472175	3.69276050133881	0.0189935185962876
g0278	2	0	0	0	0.407479462382592	0.803422195126919	3.6491789472175	3.76360664667701	0.0594991470206324
g0279	10	8	5	11.0616748322239	11.7103909685639	37.0901414022574	4.95525968085822	4.93676045372196	0.137238071896929
g0280	7	2	0	1.47223933561741	2.14358122839595	5.16166045786686	4.13802307447359	4.11779523873311	0.140398137055578
g0281	10	10	10	106.595829437811	99.5789480451864	2810.54616696877	7.02002191368399	6.74711402092146	0.786804926490563
g0282	6	0	0	0.866829641091498	0.775862789015333	0.567137299949261	4.02730235787405	3.92200671987663	0.0589687278633255
g0283	4	0	0	0	0.77627382577248	1.61806059303873	3.6491789472175	3.86501297193535	0.0888920214731785
g0284	10	9	8	16.4977695910987	19.8912324121005	137.878999599831	5.22104356404857	5.27617197507927	0.234464372948507
g0285	1	0	0	0	0.0855554471783893	0.0731973454189416	3.6491789472175	3.68674675658486	0.0141134030066186
g0287	10	10	10	252.592526495591	244.827871748902	917.756164760089	8.11416071611539	8.0645379947725	0.0285705034258467
g0288	10	10	10	573.203054296985	556.576714454099	12671.3379401664	9.21928988504915	9.15624238375851	0.0920131365747594
g0290	7	4	2	3.4857854007328	7.27605906291746	126.332470925962	4.39296517275748	4.42578161743569	0.514783645201617
g0291	6	2	2	0.866829641091498	7.06530192738413	287.278887230692	4.02730235787405	4.2167640215202	0.69326577270248
g0292	10	6	3	7.41912964451054	7.76597007484714	15.6155225839603	4.73227635337736	4.7211977849247	0.0728083731581529
g0293	3	2	2	0	13.2165429774721	778.057426930253	3.6491789472175	4.26414378530868	1.3696664048125
g0294	1	0	0	0	0.115363597153351	0.133087595481607	3.6491789472175	3.69276050133881	0.0189935185962876
g0296	2	0	0	0	0.209527723720724	0.197616173106646	3.6491789472175	3.73216195293337	0.0307023147069182
g0297	3	0	0	0	0.535920896731362	0.845445400424421	3.6491789472175	3.80954911645771	0.0689543609010661
g0298	9	6	2	6.7602031839419	10.2678387427072	161.396394888187	4.68304150748622	4.70696286416087	0.420780155631615
g0299	8	3	2	3.44156290086805	6.84459873017485	111.292721251901	4.39640313636705	4.43166469237555	0.442118259917813
g0302	10	10	10	48.8926230085774	53.9964011658802	135.181387511389	6.16554842379565	6.2519849586787	0.0466255723726411
g0303	10	8	7	15.5955712749184	19.9935418424827	217.623854884753	5.17897874912796	5.23360074858531	0.354134927222595
g0304	10	9	6	12.2568307514418	13.526480256607	61.045920814539	5.02257842869754	5.01081409461318	0.191086429086185
g0305	2	1	0	0	0.779916819735325	3.05665442863118	3.6491789472175	3.80578486398037	0.112589068860131
g0306	10	8	7	12.237074660208	20.2668098364036	446.134227160497	5.02119301592644	5.1925488119077	0.437719954327344
g0308	10	5	1	5.13225333153078	6.03777211141826	27.5539966426691	4.55563376491964	4.55307932588092	0.1395498653629
g0309	10	10	10	613.00147261751	592.898410781515	195118.004944793	9.31659876400652	8.83429164232565	1.71042672056587
g0310	7	2	0	3.34771375327984	2.83184058633668	6.00338602972876	4.38625692520753	4.19786415001651	0.171888697846882
g0311	9	7	5	9.2907669177239	10.129195481633	63.1993142931498	4.85341924542534	4.75570838137705	0.341711233819434
g0312	10	10	10	319.986614774252	352.268660294866	69418.8437823976	8.42872476700996	8.22448151747135	1.22732030745718
g0313	10	6	4	7.8838408003693	45.2541498105068	8264.58078237946	4.75838503287426	5.22602292170111	1.86048295297782
g0315	1	0	0	0	0.0895421349850653	0.0801779393768366	3.6491789472175	3.68760705372851	0.01476719370021
g0316	4	0	0	0	0.607665312860937	0.857448118152179	3.6491789472175	3.84331689672082	0.0687678905622161
g0317	4	0	0	0	0.375865014918738	0.242483403924274	3.6491789472175	3.8062840603963	0.0414227947537321
g0318	10	10	10	717.749796660622	685.075131284066	222652.252250156	9.52562648019099	9.04220466663797	1.73214907266607
g0319	10	9	9	46.5432953129749	63.7833841946801	2420.04512681862	6.10957746101918	6.177347731186	0.883464580924372
g0320	1	0	0	0	0.115363597153351	0.133087595481607	3.6491789472175	3.69276050133881	0.0189935185962876
g0321	10	10	10	31.6907915164017	34.2836586742285	149.097075197327	5.75040829281185	5.78818163547052	0.0977063250878971
g0322	10	10	10	155.43660283857	176.82646013292	3829.16589099455	7.48906617781562	7.60617004871554	0.125665004570153
g0323	3	1	1	0	2.44283738243184	32.2428296035533	3.6491789472175	3.95384869477061	0.310683622395816
