Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
153,17,0.3233,43.97,72.29,0.2926,0.185251,"g3414 g4215 g1249 g1906 g0424 g2458 g2533 g1626 g2604 g0796 g3637 g3704 g0083 g3772 g4395 g2901 g2770"
154,12,0.4587,30.28,45.92,0.3022,0.0704776,"g3372 g2378 g1888 g2743 g1816 g3747 g3323 g1886 g3307 g0221 g1945 g0889"
155,10,0.4291,19.31,32.91,0.2674,0.285375,"g1869 g2617 g1018 g4777 g3495 g1375 g2067 g4894 g1780 g1494"
156,22,0.3197,73.85,59.65,0.4161,2.39200e-07,"g2023 g4012 g4911 g2688 g0794 g1895 g2260 g2252 g4491 g2794 g2384 g0448 g3540 g4369 g0032 g3092 g4789 g4568 g0328 g0660 g0792 g2429"
157,12,0.3886,25.65,44.46,0.2725,0.311802,"g1410 g2044 g0309 g1875 g4519 g1693 g4630 g4756 g4286 g3292 g4606 g3486"
158,17,0.4097,55.72,58.42,0.3761,4.96860e-05,"g1188 g3685 g2246 g4823 g1245 g3086 g2285 g2524 g0139 g2809 g1765 g0342 g0248 g4202 g2515 g2239 g1924"
159,8,0.7224,20.23,30.24,0.3043,0.0946315,"g2800 g2030 g3546 g4642 g2506 g1311 g1568 g1205"
160,18,0.3011,46.06,64.00,0.3154,0.00496086,"g3966 g2471 g3058 g4740 g4536 g4681 g0701 g1306 g2122 g2823 g3714 g4429 g3454 g4813 g3148 g4931 g2213 g2282"
161,8,0.8562,23.97,25.63,0.3654,0.00504085,"g2437 g1438 g0856 g0401 g0393 g3682 g4137 g3949"
162,7,0.7507,15.76,23.08,0.2983,0.100668,"g2816 g3575 g0391 g2775 g4601 g1783 g3614"
163,16,0.3013,36.16,76.49,0.2500,0.681219,"g2615 g3299 g2611 g2952 g0381 g2643 g0934 g3664 g4907 g3989 g4492 g0297 g3973 g1863 g0685 g1253"
164,8,0.5571,15.60,25.26,0.2744,0.247418,"g1336 g3994 g0517 g3485 g2552 g4764 g0545 g3150"
165,5,1.250,12.50,24.40,0.2666,0.582734,"g0705 g4136 g0310 g4150 g2204"
166,8,0.5995,16.78,18.16,0.3295,0.0119743,"g0037 g3634 g4684 g1049 g0625 g3410 g2955 g3247"
167,21,0.3020,63.43,96.42,0.3142,0.0370450,"g3685 g2246 g4823 g1245 g2285 g1613 g2524 g4710 g3429 g4287 g4918 g4766 g4088 g2283 g2211 g4809 g4435 g2241 g0847 g1021 g3428"
168,12,0.4935,32.57,40.71,0.3348,0.0151914,"g0031 g4426 g2966 g2853 g1871 g0165 g2407 g0808 g0138 g2342 g2569 g0864"
169,17,0.3975,54.06,62.51,0.3590,0.000114146,"g1357 g2044 g2759 g1875 g1693 g4286 g3292 g3778 g1092 g3898 g0485 g4606 g3023 g3119 g1481 g3197 g4862"
170,5,0.7837,7.837,25.29,0.1817,0.969949,"g4412 g4124 g0686 g0264 g3533"
171,10,0.4868,21.90,31.94,0.2967,0.0444865,"g3163 g4932 g3823 g3792 g1524 g3127 g3070 g3582 g3647 g3938"
172,11,0.5501,30.25,43.26,0.3167,0.0107731,"g2330 g2587 g4865 g0081 g2150 g1658 g3401 g0579 g4926 g3534 g4057"
173,7,0.5308,11.15,22.81,0.2324,0.550837,"g2573 g3252 g4375 g1989 g2491 g2536 g3683"
174,3,1.248,3.743,10.59,0.1841,0.959572,"g3304 g4591 g1908"
175,5,0.9823,9.823,27.78,0.2064,0.894962,"g2284 g4230 g2638 g0036 g3955"
176,8,0.6207,17.38,37.64,0.2447,0.643404,"g1934 g2024 g4172 g0388 g2052 g0907 g2888 g3608"
177,19,0.3510,60.02,69.94,0.3574,0.00108672,"g0909 g0922 g0651 g3267 g0319 g0479 g2663 g0526 g4039 g0400 g0803 g3951 g2759 g3898 g3023 g3119 g3197 g4529 g4863"
178,4,0.9741,5.844,17.59,0.1859,0.943824,"g2542 g2882 g0494 g3736"
179,10,0.3473,15.63,27.57,0.2473,0.311588,"g2535 g0484 g2538 g3438 g4589 g0443 g3969 g3437 g0978 g0322"
180,9,0.6502,23.41,40.71,0.2851,0.239964,"g0808 g1226 g2300 g0689 g4805 g2934 g0248 g4912 g4822"
181,14,0.5195,47.27,31.15,0.4442,0.000261152,"g0369 g4613 g3636 g4011 g2301 g4275 g4276 g2039 g0086 g1307 g1241 g1384 g2977 g1858"
182,3,1.314,3.942,14.37,0.1622,0.985452,"g2521 g1795 g2999"
183,8,0.8288,23.21,32.60,0.3232,0.0781270,"g1055 g1354 g2315 g3061 g0585 g0683 g2224 g2212"
184,13,0.3982,31.06,47.23,0.2978,0.0999123,"g3939 g2527 g0969 g3956 g3383 g1542 g2893 g4156 g0645 g0056 g1106 g1073 g3649"
185,7,0.7870,16.53,32.73,0.2612,0.500000,"g0934 g3664 g3128 g4807 g3806 g3850 g0802"
186,15,0.5737,60.24,30.50,0.4989,9.67615e-06,"g1281 g3963 g0714 g4826 g2316 g4097 g2858 g0296 g1703 g2518 g3025 g1976 g4028 g4445 g3712"
187,17,0.4173,56.76,52.53,0.3961,0.000533692,"g2838 g3919 g2797 g0148 g3343 g3624 g4321 g2155 g4570 g1026 g4332 g1777 g3972 g4646 g2566 g4213 g3143"
188,12,0.5426,35.81,29.74,0.3999,0.00100475,"g4911 g0377 g0794 g1895 g2260 g3540 g1045 g4789 g4568 g4238 g0792 g0195"
189,22,0.3057,70.62,74.92,0.3726,0.000143633,"g4313 g2773 g0542 g3877 g0807 g0130 g1815 g0622 g0937 g4783 g3607 g1497 g1336 g3407 g0517 g3485 g4396 g2552 g4764 g3716 g3711 g4820"
190,13,0.4387,34.22,53.01,0.3022,0.0755158,"g1096 g0155 g2266 g4806 g1942 g1955 g3602 g3882 g0741 g0121 g4113 g4055 g0467"
191,4,0.8557,5.134,19.94,0.1552,0.943824,"g3432 g0445 g1331 g0697"
192,7,0.7822,16.43,22.17,0.3123,0.0483488,"g2114 g3310 g2056 g1185 g1544 g1444 g2279"
193,11,0.5549,30.52,46.87,0.3071,0.132146,"g4890 g3733 g4346 g2058 g3326 g3347 g0141 g2857 g0083 g4395 g3983"
194,5,0.7778,7.778,21.61,0.1975,0.894962,"g0014 g1026 g3972 g3833 g3143"
195,15,0.3413,35.83,53.19,0.3010,0.0372478,"g2971 g4013 g2423 g2993 g1917 g2371 g3335 g2175 g1356 g3622 g0963 g0720 g1200 g1098 g2462"
196,10,0.5056,22.75,52.64,0.2385,0.688412,"g1834 g4645 g2664 g0701 g1462 g2956 g2263 g0800 g1946 g0679"
197,4,0.7787,4.672,15.45,0.1662,0.943824,"g3770 g0211 g2033 g1284"
198,16,0.3558,42.70,45.10,0.3564,0.00154530,"g1019 g0385 g4692 g3200 g2037 g1739 g1925 g1582 g3963 g3198 g2191 g3345 g3527 g3251 g0288 g3965"
199,18,0.3242,49.61,73.14,0.3125,0.0483541,"g3946 g1517 g3794 g1572 g2198 g2550 g3234 g1093 g0062 g2482 g2049 g0730 g2343 g0570 g2530 g1219 g1657 g2828"
200,12,0.4669,30.81,36.55,0.3373,0.0442669,"g4391 g4145 g2447 g2148 g2715 g2698 g4104 g2369 g3609 g0224 g4878 g2750"
201,6,0.6472,9.708,17.04,0.2505,0.344460,"g3195 g2726 g2861 g0849 g0321 g3731"
202,12,0.5562,36.71,41.48,0.3592,0.00828746,"g1619 g2329 g1396 g3560 g3693 g3430 g1787 g3637 g1527 g2303 g4153 g3902"
203,6,0.9871,14.81,23.71,0.2931,0.148977,"g2612 g2622 g2589 g2807 g3318 g1066"
204,15,0.4007,42.07,47.66,0.3514,0.00239738,"g4827 g3883 g4138 g1505 g0698 g3812 g0339 g0813 g0176 g3376 g0711 g3825 g0340 g2802 g0268"
205,9,0.6952,25.03,32.48,0.3314,0.0666601,"g4221 g4220 g2330 g1649 g2358 g2587 g3926 g1878 g0678"
206,7,0.8483,17.82,19.15,0.3496,0.00759680,"g0331 g0026 g4051 g0490 g3201 g0095 g1937"
207,4,1.021,6.123,15.21,0.2087,0.442617,"g3167 g2359 g4083 g0097"
208,11,0.4765,26.21,44.44,0.2829,0.215354,"g1521 g4189 g2062 g1699 g2913 g1763 g1865 g1216 g1387 g0356 g2060"
209,9,0.5461,19.66,32.21,0.2814,0.165694,"g1037 g2140 g4829 g3123 g0661 g0522 g4114 g2151 g1722"
210,8,0.8051,22.54,30.53,0.3264,0.113573,"g4371 g2238 g1203 g4367 g4651 g1719 g4618 g2379"
211,9,0.4496,16.19,37.14,0.2269,0.874501,"g0896 g3954 g0558 g4727 g1784 g3139 g4581 g0150 g2242"
212,14,0.4991,45.42,46.00,0.3803,0.00412101,"g4210 g3574 g2843 g3014 g0569 g2623 g3031 g1999 g1213 g2004 g4549 g1511 g3008 g3374"
213,11,0.5776,31.77,36.32,0.3526,0.00629306,"g3273 g4279 g2460 g1157 g4857 g2543 g1950 g3114 g2132 g1323 g0704"
214,5,0.7528,7.528,24.71,0.1782,0.952654,"g4096 g1374 g3766 g0386 g3735"
215,13,0.4825,37.63,35.39,0.3800,0.000201233,"g1668 g0309 g4756 g4204 g2902 g2783 g2561 g2028 g3765 g3967 g4947 g4003 g1371"
216,9,0.4623,16.64,32.71,0.2471,0.500000,"g3744 g3897 g2886 g0938 g0703 g4062 g2149 g1115 g3498"
217,14,0.3531,32.14,51.53,0.2878,0.150610,"g1890 g3866 g4017 g3390 g3842 g1017 g2511 g2687 g2718 g0964 g0018 g0764 g3033 g0970"
218,10,0.4484,20.18,40.05,0.2515,0.633135,"g1005 g0713 g2553 g1830 g3627 g2726 g2105 g2056 g3446 g0838"
219,15,0.3249,34.11,44.27,0.3147,0.00807014,"g2114 g0981 g3674 g0504 g3310 g2056 g3815 g1185 g1544 g4774 g3140 g1790 g3360 g1444 g2279"
220,9,0.6414,23.09,33.34,0.3102,0.0260294,"g4342 g2590 g3904 g0861 g4163 g3606 g2009 g0662 g1469"
221,15,0.3659,38.42,49.16,0.3268,0.0139625,"g3644 g1012 g2548 g4554 g2798 g3868 g0886 g0990 g0699 g2920 g2906 g4473 g2593 g2948 g3817"
222,10,0.4812,21.65,14.66,0.3845,0.000384270,"g0742 g3756 g2602 g2522 g0329 g1102 g4024 g3651 g0019 g4251"
223,5,0.9091,9.091,23.94,0.2113,0.894962,"g4616 g4239 g3853 g4547 g1124"
224,9,0.7081,25.49,35.56,0.3225,0.0386943,"g0918 g4942 g2970 g4889 g2810 g4399 g0419 g3387 g1862"
225,6,0.9475,14.21,29.59,0.2547,0.712413,"g3305 g0012 g3414 g1477 g4215 g1249"
226,5,1.197,11.97,23.08,0.2657,0.417266,"g4236 g1190 g0805 g4237 g0796"
227,15,0.3886,40.81,42.16,0.3612,0.00272607,"g4391 g4145 g0067 g2447 g3329 g2148 g2715 g4104 g2369 g3609 g0638 g0224 g3709 g4878 g2750"
228,5,1.080,10.80,23.18,0.2455,0.582734,"g0214 g4009 g0966 g3332 g0728"
229,8,0.6929,19.40,42.82,0.2480,0.479061,"g4179 g0664 g2278 g4696 g2610 g0178 g4300 g4139"
230,9,0.5510,19.83,39.35,0.2570,0.604459,"g0235 g1133 g3196 g0119 g1520 g3654 g1382 g1817 g3427"
231,11,0.4993,27.46,24.36,0.3720,0.00290843,"g3852 g1351 g1885 g2922 g1918 g1891 g4303 g2113 g4306 g3301 g4322"
232,7,0.5929,12.45,22.28,0.2555,0.261452,"g4726 g3743 g2186 g4866 g1922 g0956 g2123"
233,14,0.3027,27.54,39.83,0.2888,0.0564610,"g3328 g1215 g0373 g4468 g3337 g1751 g0869 g1408 g3677 g1429 g2124 g4561 g1409 g0769"
234,7,0.8653,18.17,23.95,0.3238,0.0626005,"g1762 g1688 g3481 g3019 g3753 g1179 g0554"
235,18,0.3537,54.12,67.25,0.3439,0.000529068,"g0829 g3295 g1208 g3663 g1454 g2812 g1222 g4574 g0457 g4573 g3176 g2143 g3648 g3327 g4087 g3493 g0890 g1427"
236,6,0.8281,12.42,18.22,0.2913,0.114883,"g1332 g1569 g4725 g0172 g3202 g0571"
237,11,0.4926,27.09,44.91,0.2882,0.235050,"g3522 g3664 g3128 g4807 g3806 g4373 g1641 g4419 g3850 g2209 g0802"
238,7,0.8870,18.63,21.63,0.3433,0.0204568,"g0164 g1991 g4115 g0004 g4440 g2247 g3738"
239,6,0.7722,11.58,22.71,0.2502,0.531907,"g1837 g2294 g0508 g1793 g4064 g1988"
240,11,0.4994,27.47,41.92,0.3006,0.132146,"g2990 g2873 g0717 g4434 g2206 g3668 g1640 g0818 g3766 g0249 g1104"
241,9,0.7531,27.11,26.23,0.3800,0.0170346,"g3283 g2495 g3708 g4636 g0013 g2307 g4758 g4112 g2849"
242,3,1.462,4.386,10.11,0.2140,0.500000,"g2731 g2961 g3796"
243,7,0.7679,16.13,30.00,0.2682,0.350739,"g4236 g1190 g0894 g2094 g0805 g4237 g0796"
244,10,0.5323,23.95,32.87,0.3118,0.0809862,"g3633 g0034 g3667 g2655 g3480 g4794 g0131 g3378 g0576 g3187"
245,11,0.5958,32.77,33.36,0.3718,0.00521954,"g2135 g0958 g1231 g4319 g2111 g1172 g3936 g0672 g2384 g1736 g2660"
246,7,0.9523,20.00,21.49,0.3604,0.0107254,"g4144 g1031 g3463 g0640 g0641 g3734 g4787"
247,11,0.5793,31.86,33.21,0.3659,0.00521954,"g0756 g4528 g1762 g1688 g3481 g3019 g3753 g1179 g2758 g0554 g2751"
248,7,0.7488,15.72,25.86,0.2829,0.261452,"g0781 g1786 g3646 g0103 g2782 g0261 g1108"
249,3,1.788,5.365,10.72,0.2429,0.808633,"g0932 g2646 g3046"
250,8,0.4733,13.25,11.81,0.3228,0.00370277,"g4930 g3822 g3004 g4167 g0524 g4685 g3319 g3909"
251,6,0.5740,8.611,20.55,0.2092,0.712413,"g1769 g1910 g2194 g0206 g3707 g3990"
252,13,0.4184,32.64,36.65,0.3425,0.00916276,"g0516 g2465 g3680 g1812 g0042 g3918 g4713 g0255 g0073 g4085 g4082 g4946 g3353"
253,16,0.3533,42.40,60.96,0.3132,0.0337813,"g3932 g2186 g2734 g4541 g2620 g4866 g0829 g3295 g1208 g2226 g1222 g3176 g4577 g2143 g3002 g2123"
254,5,0.9752,9.752,22.04,0.2334,0.851865,"g3748 g2035 g4346 g0010 g3802"
255,12,0.4141,27.33,44.93,0.2839,0.107247,"g3900 g0590 g4331 g0946 g0500 g4267 g3857 g3644 g3691 g0043 g4473 g3817"
256,9,0.6278,22.60,41.65,0.2748,0.395541,"g4187 g2302 g3119 g1220 g0643 g4284 g3690 g3598 g0210"
257,19,0.3159,54.03,41.97,0.4032,8.86862e-06,"g2430 g0671 g0480 g1675 g3057 g1195 g4159 g2002 g2473 g3561 g2090 g2297 g0862 g4203 g4015 g1074 g4479 g2829 g3589"
258,4,1.285,7.709,18.23,0.2272,0.442617,"g1679 g2192 g0325 g3971"
259,7,0.6336,13.31,26.79,0.2460,0.500000,"g1388 g1605 g2287 g4812 g2997 g1417 g2691"
260,9,0.4745,17.08,33.59,0.2488,0.604459,"g1388 g1605 g2287 g4812 g4228 g2997 g1417 g1811 g2691"
261,5,0.8776,8.776,23.11,0.2095,0.894962,"g0544 g4928 g1057 g0378 g1136"
262,7,0.8770,18.42,31.86,0.2865,0.304640,"g2738 g0592 g0973 g2484 g4078 g2821 g4607"
263,10,0.4394,19.77,18.30,0.3405,0.00700964,"g1549 g1461 g1563 g4042 g4348 g4173 g4259 g3298 g1175 g0690"
264,8,0.7799,21.84,32.85,0.3089,0.0517809,"g3321 g2190 g3313 g3524 g4227 g1798 g0471 g3015"
265,7,0.8329,17.49,28.03,0.2939,0.125077,"g4148 g3494 g4264 g4531 g4140 g1694 g0987"
266,11,0.5881,32.35,23.39,0.4161,0.00354842,"g3605 g3668 g3207 g0607 g1007 g2442 g1257 g2036 g2905 g4914 g1907"
267,5,0.4197,4.197,12.36,0.1581,0.851865,"g3365 g3619 g3943 g2871 g2481"
268,13,0.4416,34.45,39.34,0.3452,0.00517215,"g3023 g1481 g2137 g1931 g4795 g1528 g1889 g0005 g4862 g1647 g3443 g2869 g3152"
269,6,0.6816,10.22,23.56,0.2233,0.810761,"g1540 g1748 g2332 g4063 g2523 g0826"
270,8,0.4925,13.79,27.00,0.2428,0.215279,"g1572 g2343 g0570 g3500 g1664 g4738 g1276 g2860"
271,16,0.5551,66.61,22.00,0.5523,2.31489e-06,"g0918 g4942 g2970 g1321 g2163 g2654 g4889 g2810 g2178 g3185 g4901 g3184 g4399 g4950 g0419 g3387"
272,5,0.8223,8.223,19.01,0.2208,0.582734,"g0254 g0291 g1586 g0323 g3894"
273,4,1.419,8.515,19.22,0.2382,0.764757,"g2778 g1554 g4351 g0609"
274,4,1.882,11.29,8.403,0.4077,0.0151914,"g0498 g2865 g3507 g3499"
275,4,0.8158,4.895,13.95,0.1823,0.764757,"g1978 g2661 g3982 g0962"
276,20,0.3031,57.59,84.34,0.3165,0.00355675,"g3286 g4231 g3702 g4841 g3295 g1208 g0910 g1222 g3648 g3997 g1450 g3327 g4087 g3493 g4183 g1106 g3649 g0417 g2375 g0985"
277,5,0.8450,8.450,18.05,0.2315,0.500000,"g3186 g0212 g4407 g3291 g0066"
278,4,0.9399,5.639,15.79,0.1916,0.943824,"g4697 g0604 g1036 g4055"
279,9,0.6524,23.49,27.59,0.3400,0.0386943,"g2867 g0180 g2575 g0283 g2084 g1187 g3729 g2153 g2608"
280,21,0.3009,63.19,51.64,0.4029,6.74693e-06,"g2738 g0592 g0973 g2484 g4078 g0515 g4049 g2171 g3910 g0324 g2346 g0659 g3781 g3790 g2821 g0234 g0593 g1216 g4607 g2082 g2510"
281,5,0.9769,9.769,16.57,0.2688,0.417266,"g1223 g2240 g1237 g0819 g2379"
282,5,0.6640,6.640,15.26,0.2081,0.734565,"g3848 g1070 g2144 g1566 g4778"
283,10,0.5052,22.73,35.77,0.2896,0.153745,"g0071 g2372 g3896 g2337 g0218 g2597 g3889 g0449 g2489 g3344"
284,17,0.3041,41.36,46.17,0.3403,0.00121860,"g3445 g0986 g3151 g3852 g2922 g3551 g2798 g3840 g4125 g1562 g1918 g1891 g4303 g2113 g4306 g3301 g4322"
285,15,0.3571,37.50,58.22,0.2983,0.106687,"g1090 g3188 g2647 g0666 g2521 g4896 g0371 g4392 g1408 g1795 g4953 g4582 g3511 g2999 g3497"
286,13,0.3977,31.02,50.14,0.2895,0.164939,"g1837 g3798 g1522 g2275 g4807 g2492 g2294 g0508 g1793 g0506 g0589 g4064 g1988"
287,7,0.7552,15.86,22.74,0.3015,0.100668,"g0332 g2898 g4629 g3358 g3962 g3496 g3956"
288,5,1.419,14.19,14.33,0.3684,0.00609289,"g4352 g4394 g0612 g4347 g3032"
289,9,0.6823,24.56,22.96,0.3749,0.00403574,"g2682 g0346 g3699 g2822 g1759 g2097 g2741 g2006 g0795"
290,4,1.164,6.983,8.903,0.2924,0.0561756,"g4128 g0954 g3978 g4792"
291,11,0.4742,26.08,38.54,0.3011,0.0654841,"g1306 g2122 g2823 g3714 g1462 g1135 g0257 g2365 g2213 g0800 g2282"
292,15,0.3957,41.55,47.15,0.3500,0.00397017,"g4007 g1968 g3574 g4148 g3942 g3494 g2168 g3659 g4264 g4531 g4140 g4274 g0950 g3285 g0602"
293,9,0.4476,16.11,36.39,0.2285,0.670578,"g2307 g1938 g3424 g2364 g3635 g1643 g1250 g3836 g2408"
294,12,0.6115,40.36,27.77,0.4381,0.000238841,"g4934 g4381 g3063 g3709 g2930 g3203 g3183 g2894 g4868 g2859 g3670 g2017"
295,9,0.6050,21.78,46.15,0.2535,0.701879,"g2664 g0701 g3454 g0462 g4859 g2534 g0800 g1946 g0679"
296,6,0.8338,12.51,26.91,0.2432,0.531907,"g1956 g3033 g0715 g3837 g3360 g0209"
297,8,0.8835,24.74,14.45,0.4483,0.000679688,"g2119 g3137 g3210 g3243 g4922 g3303 g3749 g3998"
298,8,0.6162,17.25,30.05,0.2726,0.281762,"g0739 g4662 g2765 g3686 g3563 g0674 g0372 g4581"
299,6,1.068,16.02,18.76,0.3424,0.0226638,"g0711 g2455 g4767 g4027 g0408 g3603"
300,5,0.7690,7.690,8.077,0.2984,0.0473465,"g0852 g4736 g4935 g2310 g3940"
301,7,0.6817,14.32,29.85,0.2462,0.500000,"g2592 g0717 g1640 g0818 g4768 g0249 g0330"
302,12,0.4591,30.30,36.78,0.3327,0.0131147,"g3072 g1328 g3906 g2700 g4753 g0623 g3671 g3633 g3886 g4640 g0131 g3647"
303,7,0.6343,13.32,22.15,0.2693,0.185547,"g1096 g3403 g3759 g1061 g0634 g1067 g4627"
304,7,0.8671,18.21,23.55,0.3266,0.0204568,"g2883 g0649 g4478 g3369 g1139 g4099 g3080"
305,9,0.6022,21.68,27.82,0.3212,0.0466988,"g1395 g3138 g0541 g1847 g4576 g4442 g2479 g2032 g0282"
306,20,0.3039,57.74,71.83,0.3405,0.00166809,"g3988 g0893 g4705 g2856 g3064 g0881 g1091 g3022 g4663 g0351 g1749 g3846 g3975 g4972 g4234 g3957 g3969 g4804 g0978 g1035"
307,6,0.8518,12.78,22.37,0.2710,0.189239,"g0482 g3466 g4565 g0663 g2687 g3276"
308,4,1.198,7.185,16.20,0.2289,0.667497,"g3812 g4068 g4534 g0413"
309,5,0.9364,9.364,16.19,0.2634,0.417266,"g0932 g2646 g3046 g2686 g3930"
310,11,0.7260,39.93,51.80,0.3511,0.0151195,"g2968 g0718 g4423 g4424 g4488 g3487 g0872 g1057 g4199 g3695 g3392"
311,10,0.4813,21.66,35.66,0.2801,0.0809862,"g0668 g4786 g4957 g0820 g0551 g4677 g0940 g0452 g2832 g4695"
312,13,0.7204,56.19,17.42,0.5641,8.13929e-06,"g2380 g0835 g1173 g0053 g3003 g0220 g3529 g2655 g1097 g2944 g3034 g3364 g3669"
313,14,0.3781,34.41,43.84,0.3239,0.0129248,"g4007 g4025 g0857 g0059 g2254 g3574 g3167 g4872 g1861 g0825 g3112 g2359 g2816 g1779"
314,4,0.9036,5.422,11.23,0.2200,0.332503,"g3934 g1122 g2947 g3730"
315,8,0.4110,11.51,19.42,0.2452,0.356596,"g1775 g3831 g4830 g1669 g4178 g0007 g0015 g4760"
316,5,0.8576,8.576,5.515,0.3560,0.0107859,"g3026 g1923 g1930 g3354 g0594"
317,6,0.9348,14.02,16.04,0.3333,0.0327761,"g1677 g4744 g1674 g4177 g2911 g0317"
318,5,0.6763,6.763,6.644,0.2889,0.105038,"g1774 g3465 g4955 g3628 g2985"
319,11,0.4962,27.29,37.26,0.3153,0.0284365,"g1037 g2140 g4829 g3123 g1065 g1242 g0661 g1317 g4114 g1027 g3258"
320,3,1.779,5.338,9.634,0.2545,0.191367,"g2454 g1008 g2526"
321,21,0.3142,65.99,73.58,0.3634,0.000831947,"g4313 g2773 g0542 g3877 g0807 g0768 g3520 g0130 g1815 g0622 g0937 g1033 g4783 g3607 g1497 g2771 g3407 g4396 g3716 g3711 g4820"
322,10,0.4704,21.17,22.55,0.3323,0.0225773,"g0262 g3268 g2189 g0365 g3308 g4712 g2994 g0810 g2792 g2750"
323,10,0.4099,18.45,27.84,0.2783,0.106147,"g0939 g0780 g1103 g2572 g0582 g1608 g2435 g3104 g4294 g2000"
324,9,0.6261,22.54,33.23,0.3055,0.0318449,"g4093 g0214 g4009 g0966 g3332 g1302 g0728 g0024 g1995"
325,3,1.223,3.670,9.573,0.1907,0.808633,"g3005 g4974 g3039"
326,8,0.5452,15.27,20.45,0.2952,0.0781270,"g3328 g1215 g0373 g4468 g3337 g1751 g1409 g4043"
327,9,0.5053,18.19,45.58,0.2225,0.968155,"g2533 g1787 g3637 g1527 g2303 g2770 g0471 g1804 g4657"
328,11,0.5505,30.28,20.39,0.4167,0.000513087,"g3894 g1435 g2649 g0306 g4047 g2183 g4080 g0497 g0486 g1279 g4448"
329,7,0.8173,17.16,21.67,0.3249,0.0483488,"g4728 g0337 g3265 g2453 g2106 g0859 g0771"
330,17,0.3868,52.60,65.21,0.3465,0.000533692,"g3484 g1525 g1109 g2588 g3924 g2601 g2697 g4149 g0688 g0629 g2854 g0539 g0116 g1111 g2848 g2202 g0971"
331,4,0.8339,5.003,16.36,0.1704,0.969699,"g3141 g3233 g1462 g0635"
332,6,0.7878,11.82,25.14,0.2414,0.810761,"g4118 g4514 g1906 g3771 g2711 g4341"
333,8,0.7854,21.99,23.05,0.3603,0.00370277,"g1925 g0513 g0993 g4551 g1679 g2192 g0325 g3971"
334,12,0.4561,30.11,41.12,0.3161,0.0786064,"g3717 g0547 g2244 g0757 g3832 g2029 g3966 g4536 g4813 g3148 g4931 g1741"
335,6,0.7210,10.82,20.37,0.2505,0.468093,"g0235 g1505 g1610 g0642 g4861 g2840"
336,4,0.8869,5.321,12.73,0.2042,0.442617,"g0953 g3459 g2836 g0965"
337,4,0.4714,2.828,8.911,0.1433,0.667497,"g0078 g3517 g0509 g3090"
338,7,0.7945,16.69,20.90,0.3235,0.0368191,"g0744 g3231 g0327 g1313 g0869 g4443 g2885"
339,3,1.179,3.537,7.279,0.2104,0.500000,"g4232 g3120 g2881"
340,8,0.5304,14.85,29.54,0.2459,0.562587,"g3556 g1899 g3426 g1451 g2173 g1382 g2292 g3229"
341,10,0.5534,24.90,22.28,0.3707,0.00364228,"g1967 g1845 g2784 g2591 g4554 g4966 g0725 g2184 g4772 g3903"
342,11,0.3909,21.50,25.29,0.3125,0.0107731,"g0979 g4788 g0127 g1754 g1479 g3238 g2680 g3616 g0347 g2043 g1327"
343,6,1.549,23.24,20.62,0.4160,0.00411951,"g2308 g1080 g1493 g1585 g2038 g4295"
344,14,0.3824,34.80,29.67,0.3763,0.000261152,"g1018 g1650 g3246 g3431 g2785 g0080 g1068 g3984 g3821 g1645 g4929 g3518 g4245 g2761"
345,10,0.8723,39.26,18.13,0.5073,0.000164919,"g0124 g2658 g2016 g2719 g1400 g0812 g1983 g3450 g1927 g4261"
346,3,1.620,4.859,14.65,0.1905,0.904785,"g3124 g3083 g3929"
347,10,0.5075,22.84,42.08,0.2689,0.260261,"g3390 g2399 g1721 g2356 g1676 g0597 g3815 g0471 g1804 g4657"
348,5,0.8505,8.505,8.799,0.3115,0.0718360,"g0948 g4853 g0233 g1288 g3224"
349,3,1.597,4.791,11.27,0.2172,0.808633,"g1822 g0256 g1651"
350,12,0.3351,22.12,32.73,0.2805,0.185422,"g2141 g1514 g4952 g1349 g0127 g1754 g1479 g3238 g2680 g1730 g0347 g1327"
351,5,0.9885,9.885,13.97,0.2920,0.0473465,"g3641 g3665 g1028 g4995 g4671"
352,9,0.5436,19.57,31.13,0.2848,0.125499,"g2378 g1888 g2743 g1816 g0222 g1886 g0221 g1945 g0889"
353,10,0.5995,26.98,25.14,0.3740,0.00289768,"g1070 g2568 g2122 g2144 g2768 g1135 g2365 g3088 g4038 g0861"
354,5,0.5998,5.998,14.40,0.1973,0.798302,"g3052 g1140 g3096 g3805 g3355"
355,7,0.5575,11.71,18.39,0.2655,0.261452,"g0446 g0999 g2690 g3131 g3950 g0528 g3100"
356,13,0.3137,24.47,50.96,0.2412,0.640193,"g3744 g3897 g2886 g0938 g2592 g0703 g2428 g4062 g1115 g3498 g0330 g2554 g1308"
357,5,0.9075,9.075,14.07,0.2738,0.0718360,"g3481 g4209 g2996 g4802 g2815"
358,4,0.9004,5.403,14.29,0.1951,0.903035,"g1255 g4763 g4770 g4680"
359,5,0.9374,9.374,17.39,0.2549,0.338052,"g2133 g2549 g3301 g1016 g0804"
360,13,0.3157,24.63,41.02,0.2687,0.177984,"g3196 g0827 g1606 g2399 g4200 g3791 g1952 g4408 g4409 g1944 g4729 g2834 g3875"
361,12,0.4747,31.33,25.64,0.3869,0.00147282,"g0636 g1737 g3834 g0898 g0541 g1010 g0193 g4815 g1301 g3771 g3528 g2711"
