Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
31,25,0.3001,90.03,107.2,0.3641,0.000122640,"g3773 g1118 g4566 g3874 g2744 g4567 g4423 g4424 g3284 g0895 g4488 g0872 g0318 g1915 g2275 g2212 g0506 g0587 g2007 g0831 g4199 g0392 g4973 g3695 g3392"
32,15,0.6243,65.55,41.84,0.4771,2.40318e-05,"g2095 g4465 g2347 g0171 g2405 g0460 g1189 g3839 g4192 g2081 g3474 g4609 g0896 g3722 g3081"
33,9,0.6492,23.37,49.25,0.2579,0.731750,"g2546 g1227 g2574 g4951 g1403 g3208 g0269 g1009 g4317"
34,9,0.6448,23.21,43.00,0.2756,0.329422,"g2734 g4541 g2620 g0829 g3295 g1208 g1222 g3176 g2143"
35,20,0.3071,58.36,73.00,0.3406,0.000507050,"g3702 g4841 g0829 g3295 g1208 g1222 g3176 g2143 g3648 g1183 g1450 g3327 g3715 g1050 g4087 g3493 g0952 g1768 g4183 g2375"
36,9,0.6687,24.07,44.36,0.2785,0.395541,"g3769 g0992 g2513 g4346 g2058 g3326 g2857 g0083 g4395"
37,20,0.4810,91.39,50.35,0.5029,3.00876e-07,"g3565 g1355 g3809 g2010 g0616 g0615 g1283 g4550 g0811 g4029 g4069 g0632 g2951 g2161 g2879 g0779 g3959 g3619 g2352 g3470"
38,17,0.4032,54.84,61.64,0.3644,0.00108662,"g2767 g2806 g0472 g4152 g2281 g2497 g0063 g4759 g3466 g0512 g3580 g4216 g4218 g0255 g1856 g0975 g0025"
39,21,0.3412,71.65,76.74,0.3763,3.52477e-05,"g4179 g2767 g3351 g0664 g1517 g3359 g0559 g2278 g0128 g2281 g4696 g3776 g2198 g2438 g3260 g2248 g0178 g4300 g3995 g0143 g4139"
40,18,0.4432,67.81,55.13,0.4267,6.87973e-05,"g3474 g3098 g3722 g4679 g4425 g2107 g0680 g3091 g1936 g2472 g3974 g0767 g1503 g2421 g0427 g0850 g4323 g2666"
41,17,0.5753,78.24,31.85,0.5430,3.52838e-07,"g0011 g2929 g4984 g4072 g0293 g1011 g2796 g3864 g3287 g0136 g4260 g3460 g0591 g2959 g1319 g3282 g3101"
42,21,0.5256,110.4,30.98,0.6020,7.29326e-08,"g4307 g4195 g4584 g2432 g2877 g0204 g4596 g2900 g3367 g0105 g2795 g2801 g3395 g3705 g3977 g4983 g1935 g4785 g2320 g2732 g0252"
43,23,0.3431,86.80,79.96,0.4080,3.83549e-05,"g3230 g1728 g1015 g4197 g1294 g3941 g3678 g0181 g3860 g0265 g0263 g1348 g4280 g2093 g2574 g3340 g1169 g4951 g1897 g0082 g2499 g1589 g3775"
44,23,0.3224,81.58,77.84,0.3971,6.81017e-06,"g1180 g1138 g1339 g3064 g0881 g3022 g4401 g4663 g2595 g0351 g3252 g2146 g0941 g4355 g4362 g4360 g1467 g2014 g3483 g4207 g0021 g4014 g0099"
45,9,0.6436,23.17,23.93,0.3559,0.00309666,"g2345 g4223 g4422 g3024 g3829 g4398 g3854 g1099 g0334"
46,13,0.7307,56.99,32.29,0.4944,0.000244072,"g0473 g0240 g0278 g0657 g1576 g2217 g3467 g4709 g3620 g0241 g0450 g3213 g0374"
47,9,0.5986,21.55,42.59,0.2623,0.464818,"g4002 g4244 g4265 g2423 g4048 g2434 g2993 g1356 g2956"
48,27,0.3142,110.3,81.30,0.4491,4.94648e-08,"g1423 g2431 g2725 g1577 g0014 g1896 g4617 g3905 g2555 g4285 g1941 g1819 g3042 g3945 g0492 g1148 g2005 g1134 g0531 g2498 g2730 g0749 g3047 g2463 g1821 g3189 g0596"
49,11,0.6992,38.45,51.51,0.3434,0.0284365,"g3245 g1596 g1631 g4304 g2377 g1621 g1622 g0655 g4590 g0716 g4507"
50,22,0.4703,108.6,31.02,0.5915,1.42202e-08,"g0175 g1970 g1708 g1141 g4585 g1583 g3134 g4564 g3844 g4666 g2878 g2708 g4751 g0787 g4070 g4572 g2914 g3248 g3381 g0058 g2907 g3948"
51,21,0.3851,80.88,73.69,0.4115,4.76854e-06,"g0237 g3916 g1588 g1465 g0387 g2273 g2710 g0159 g1394 g1553 g1965 g1247 g4354 g4118 g2529 g1862 g0421 g1794 g2492 g3037 g0830"
52,22,0.4360,100.7,22.01,0.6041,1.85451e-08,"g1672 g2068 g0709 g2841 g0363 g1350 g0254 g0291 g1671 g3049 g3525 g4661 g3629 g1502 g0573 g0735 g4436 g3249 g4611 g3808 g2413 g3579"
53,5,0.9273,9.273,32.18,0.1802,0.981643,"g2314 g1879 g0090 g1637 g0934"
54,15,0.4617,48.48,66.47,0.3345,0.0309848,"g2866 g0731 g2272 g1666 g4356 g2540 g0022 g4034 g3382 g0096 g3261 g2565 g2142 g3419 g4562"
55,13,0.3397,26.50,41.83,0.2809,0.0503960,"g3451 g0786 g1178 g4338 g4965 g1332 g4102 g1569 g2296 g4725 g0172 g3202 g0571"
56,10,0.6343,28.54,57.05,0.2703,0.545139,"g3021 g1243 g0057 g0144 g1437 g1206 g1091 g4135 g1949 g0113"
57,11,0.5001,27.51,54.08,0.2655,0.473822,"g0912 g1194 g2400 g1339 g4231 g2100 g4183 g1106 g0417 g2375 g0985"
58,12,0.7146,47.16,36.44,0.4383,0.000553089,"g4644 g2180 g4620 g2468 g1851 g2609 g1142 g2927 g2065 g3309 g2776 g4734"
59,5,1.077,10.77,19.47,0.2676,0.338052,"g2692 g1342 g1748 g3504 g4708"
60,16,0.3863,46.35,78.29,0.2959,0.158956,"g2744 g1360 g1361 g0132 g1393 g1107 g1546 g2322 g4239 g0432 g0318 g2628 g3827 g2766 g0094 g4340"
61,25,0.3162,94.87,90.82,0.4025,7.47487e-07,"g2747 g4412 g1362 g1295 g3570 g2338 g0039 g1113 g1655 g2419 g1320 g0514 g3122 g1002 g3386 g2008 g0647 g3642 g4769 g1818 g0353 g3017 g2586 g2949 g1475"
62,8,0.7518,21.05,40.31,0.2721,0.356596,"g3685 g2246 g4823 g1245 g2285 g0139 g4710 g1924"
63,16,0.4512,54.14,71.05,0.3444,0.00752995,"g4339 g2619 g3588 g3113 g2745 g0909 g2451 g1056 g2387 g4879 g0922 g4939 g4658 g3093 g3164 g3519"
64,8,0.8551,23.94,41.98,0.2923,0.159213,"g3405 g4580 g2544 g0644 g4668 g0606 g1297 g1682"
