run	condition	tissue
Light_Control_5_L	Light_Control_L	Leaf
Light_Control_5_S	Light_Control_S	Shoot
Light_High_1_L	Light_High_L	Leaf
Light_High_1_S	Light_High_S	Shoot
Light_High_2_S	Light_High_S	Shoot
Light_High_3_L	Light_High_L	Leaf
Light_High_3_S	Light_High_S	Shoot
Light_High_4_L	Light_High_L	Leaf
Light_High_4_S	Light_High_S	Shoot
Light_High_5_L	Light_High_L	Leaf
Light_High_5_S	Light_High_S	Shoot
Light_Low_1_L	Light_Low_L	Leaf
Light_Low_1_S	Light_Low_S	Shoot
Light_Low_2_L	Light_Low_L	Leaf
Light_Low_2_S	Light_Low_S	Shoot
Light_Low_3_L	Light_Low_L	Leaf
Light_Low_3_S	Light_Low_S	Shoot
Light_Low_4_L	Light_Low_L	Leaf
Light_Low_4_S	Light_Low_S	Shoot
Light_Low_5_L	Light_Low_L	Leaf
Light_Low_5_S	Light_Low_S	Shoot
MeJA_Control-48h_4	MeJA_Control-48h_L	Leaf
MeJA_Control-48h_5	MeJA_Control-48h_L	Leaf
MeJA_MeJA-1h_1	MeJA_MeJA-1h_L	Leaf
MeJA_MeJA-1h_2	MeJA_MeJA-1h_L	Leaf
MeJA_MeJA-1h_3	MeJA_MeJA-1h_L	Leaf
MeJA_MeJA-1h_4	MeJA_MeJA-1h_L	Leaf
MeJA_MeJA-1h_5	MeJA_MeJA-1h_L	Leaf
MeJA_MeJA-4h_1	MeJA_MeJA-4h_L	Leaf
MeJA_MeJA-4h_2	MeJA_MeJA-4h_L	Leaf
MeJA_MeJA-4h_4	MeJA_MeJA-4h_L	Leaf
MeJA_MeJA-4h_5	MeJA_MeJA-4h_L	Leaf
MeJA_MeJA-8h_1	MeJA_MeJA-8h_L	Leaf
MeJA_MeJA-8h_2	MeJA_MeJA-8h_L	Leaf
MeJA_MeJA-8h_3	MeJA_MeJA-8h_L	Leaf
MeJA_MeJA-8h_4	MeJA_MeJA-8h_L	Leaf
MeJA_MeJA-8h_5	MeJA_MeJA-8h_L	Leaf
MeJA_MeJA-24h_1	MeJA_MeJA-24h_L	Leaf
MeJA_MeJA-24h_2	MeJA_MeJA-24h_L	Leaf
MeJA_MeJA-24h_3	MeJA_MeJA-24h_L	Leaf
MeJA_MeJA-24h_4	MeJA_MeJA-24h_L	Leaf
MeJA_MeJA-24h_5	MeJA_MeJA-24h_L	Leaf
MeJA_MeJA-48h_1	MeJA_MeJA-48h_L	Leaf
MeJA_MeJA-48h_2	MeJA_MeJA-48h_L	Leaf
MeJA_MeJA-48h_3	MeJA_MeJA-48h_L	Leaf
MeJA_MeJA-48h_4	MeJA_MeJA-48h_L	Leaf
MeJA_MeJA-48h_5	MeJA_MeJA-48h_L	Leaf
MeJA_Control-1h_1	MeJA_Control-1h_L	Leaf
